id_competition,id_fight,id_person_blue,id_person_white,id_winner,is_finished,round,duration,ippon,waza,yuko,penalty,ippon_b,waza_b,yuko_b,penalty_b,ippon_w,waza_w,yuko_w,penalty_w,type,round_code,round_name,date_start_ts,first_hajime_at_ts,gs,bye,updated_at,hsk_w,hsk_b,tagged,kodokan_tagged,published,sc_countdown_offset,fight_no,contest_code_long,mat,id_competition_teams,id_fight_team,competition_name,competition_date,external_id,city,comp_year,age,fight_duration,weight,id_weight,date_raw,person_white,id_ijf_white,family_name_white,given_name_white,timestamp_version_white,person_blue,id_ijf_blue,family_name_blue,given_name_blue,timestamp_version_blue,country_white,country_short_white,id_country_white,country_blue,country_short_blue,id_country_blue,picture_folder_1,picture_filename_1,picture_folder_2,picture_filename_2,media,rank_name,personal_picture_white,personal_picture_blue
983,50455,5464,1982,1982,1,3,00:02:03,1,0,0,1,0,0,0,1,1,0,0,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_mgl2011_m_p100_0001,0,,,World Cup Ulaanbaatar 2011,2011-09-10,wcup_mgl2011,Ulaanbaatar,2011,Seniors,240,+100,7,2011/09/10,KIM Sungmin,828bbc61,KIM,Sungmin,v1559747145,BOGATYREV Adam,d7e3c62b,BOGATYREV,Adam,v1429099265,Republic of Korea,KOR,15,Kazakhstan,KAZ,14,/2019/06/,1982_1559747145.jpg,/2011/08/,12782_12781_.jpg,,World Cup,https://www.judobase.org/files/persons//2019/06//1982_1559747145.jpg,https://www.judobase.org/files/persons//2011/08//12782_12781_.jpg
985,50859,4308,712,712,1,4,00:04:06,1,0,0,2,0,0,0,1,1,0,0,1,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_kaz2011_m_p100_0001,0,,,World Cup Almata 2011,2011-09-24,wcup_kaz2011,Almata,2011,Seniors,240,+100,7,2011/09/24,TANGRIEV Abdullo,6b64aece,TANGRIEV,Abdullo,v1568896807,RAKHMANOV Abubakr,453b349b,RAKHMANOV,Abubakr,v1487582244,Uzbekistan,UZB,17,Tajikistan,TJK,88,/2019/09/,712_1568896807.jpg,/2011/03/,6742_6741_Rakhmonov-Abubakr.jpg,,World Cup,https://www.judobase.org/files/persons//2019/09//712_1568896807.jpg,https://www.judobase.org/files/persons//2011/03//6742_6741_Rakhmonov-Abubakr.jpg
1047,55469,3178,712,712,1,3,00:03:34,0,2,1,0,0,0,0,0,0,2,1,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,jua_ag2010_m_p100_0001,0,,,Asian Championships Guangzhou 2010,2010-04-22,jua_ag2010,Guangzhou,2010,Seniors,240,+100,7,2010/04/22,TANGRIEV Abdullo,6b64aece,TANGRIEV,Abdullo,v1568896807,ZAIDAN Rashed,9dfede28,ZAIDAN,Rashed,v1562852276,Uzbekistan,UZB,17,Saudi Arabia,KSA,182,/2019/09/,712_1568896807.jpg,/2019/07/,3178_1562852276.jpg,,Asian Championships,https://www.judobase.org/files/persons//2019/09//712_1568896807.jpg,https://www.judobase.org/files/persons//2019/07//3178_1562852276.jpg
1083,66665,4308,1982,1982,1,3,00:00:00,0,1,1,2,0,0,0,2,0,1,1,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,jua2012_m_p100_0001,0,,,Asian Championships Seniors 2012,2012-04-27,jua2012,Tashkent,2012,Seniors,240,+100,7,2012/04/27,KIM Sungmin,828bbc61,KIM,Sungmin,v1559747145,RAKHMANOV Abubakr,453b349b,RAKHMANOV,Abubakr,v1487582244,Republic of Korea,KOR,15,Tajikistan,TJK,88,/2019/06/,1982_1559747145.jpg,/2011/03/,6742_6741_Rakhmonov-Abubakr.jpg,,Asian Championships,https://www.judobase.org/files/persons//2019/06//1982_1559747145.jpg,https://www.judobase.org/files/persons//2011/03//6742_6741_Rakhmonov-Abubakr.jpg
1081,90186,5464,9714,9714,1,3,00:05:00,1,0,1,2,0,0,0,2,1,0,1,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_kor2012_m_p100_0001,0,,,World Cup Jeju 2012,2012-12-06,wcup_kor2012,Jeju,2012,Seniors,240,+100,7,2012/12/06,CHO Guham,b5fc931b,CHO,Guham,v1564312897,BOGATYREV Adam,d7e3c62b,BOGATYREV,Adam,v1429099265,Republic of Korea,KOR,15,Kazakhstan,KAZ,14,/2019/07/,9714_1564312897.jpg,/2011/08/,12782_12781_.jpg,,World Cup,https://www.judobase.org/files/persons//2019/07//9714_1564312897.jpg,https://www.judobase.org/files/persons//2011/08//12782_12781_.jpg
959,100510,2674,1982,1982,1,4,00:01:00,1,0,1,0,0,0,0,0,1,0,1,0,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,gs_jpn2011_m_p100_0001,0,,,Grand Slam Tokyo 2011,2011-12-09,gs_jpn2011,Tokyo,2011,Seniors,240,+100,7,2011/12/09,KIM Sungmin,828bbc61,KIM,Sungmin,v1559747145,BACCINO Orlando,8e1a1823,BACCINO,Orlando,v1427200421,Republic of Korea,KOR,15,Argentina,ARG,77,/2019/06/,1982_1559747145.jpg,/imported/,3695_1013700000500.jpg,,Grand Slam,https://www.judobase.org/files/persons//2019/06//1982_1559747145.jpg,https://www.judobase.org/files/persons//imported//3695_1013700000500.jpg
960,101104,2674,892,892,1,4,00:05:00,0,1,1,3,0,0,0,3,0,1,1,0,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,gp_chn2011_m_p100_0001,0,,,Grand Prix Qingdao 2011,2011-12-17,gp_chn2011,Qingdao,2011,Seniors,240,+100,7,2011/12/17,EL SHEHABY Islam,8162193b,EL SHEHABY,Islam,v1616594059,BACCINO Orlando,8e1a1823,BACCINO,Orlando,v1427200421,Egypt,EGY,53,Argentina,ARG,77,/2021/03/,892_1615395596.jpg,/imported/,3695_1013700000500.jpg,,Grand Prix,https://www.judobase.org/files/persons//2021/03//892_1615395596.jpg,https://www.judobase.org/files/persons//imported//3695_1013700000500.jpg
1051,101763,1944,606,606,1,3,00:05:00,1,0,0,0,0,0,0,0,1,0,0,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,masters_kaz2012_m_p100_0001,0,,,Masters Almaty 2012,2012-01-14,masters_kaz2012,Almaty,2012,Seniors,240,+100,7,2012/01/14,TOELZER Andreas,fd675c3c,TOELZER,Andreas,v1673952210,STERKHOV Dmitriy,89c35dff,STERKHOV,Dmitriy,v1465532006,Germany,GER,193,Russian Federation,RUS,7,/2021/01/,606_1611825244.jpg,/2016/06/,83164_83163_.jpg,,Masters,https://www.judobase.org/files/persons//2021/01//606_1611825244.jpg,https://www.judobase.org/files/persons//2016/06//83164_83163_.jpg
957,104566,2795,892,892,1,4,00:05:00,0,1,0,2,0,0,0,1,0,1,0,1,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,gp_uae2011_m_p100_0001,0,,,Grand Prix Abu Dhabi 2011,2011-10-16,gp_uae2011,Abu Dhabi,2011,Seniors,240,+100,7,2011/10/16,EL SHEHABY Islam,8162193b,EL SHEHABY,Islam,v1616594059,KRAKOVETSKII Iurii,cbbebb1e,KRAKOVETSKII,Iurii,v1701677807,Egypt,EGY,53,Kyrgyzstan,KGZ,84,/2021/03/,892_1615395596.jpg,/2023/03/,2795_1679510221.jpg,,Grand Prix,https://www.judobase.org/files/persons//2021/03//892_1615395596.jpg,https://www.judobase.org/files/persons//2023/03//2795_1679510221.jpg
949,3421,2795,892,892,1,4,00:01:21,1,0,0,1,0,0,0,1,1,0,0,0,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,gs_moscow2010_m_p100_0001,0,,,Grand Slam Moscow 2010,2010-07-03,gs_moscow2010,Moscow,2010,Seniors,240,+100,7,2010/07/03,EL SHEHABY Islam,8162193b,EL SHEHABY,Islam,v1616594059,KRAKOVETSKII Iurii,cbbebb1e,KRAKOVETSKII,Iurii,v1701677807,Egypt,EGY,53,Kyrgyzstan,KGZ,84,/2021/03/,892_1615395596.jpg,/2023/03/,2795_1679510221.jpg,,Grand Slam,https://www.judobase.org/files/persons//2021/03//892_1615395596.jpg,https://www.judobase.org/files/persons//2023/03//2795_1679510221.jpg
