,id_person_blue,id_person_white,id_winner,competition_date
17,42276,56306,42276,2021-11-13
16,15258,12202,12202,2021-11-13
0,44974,21796,44974,2021-11-26
15,43175,23336,23336,2021-11-26
1,18923,9520,9520,2021-11-26
2,19799,38880,19799,2021-11-26
4,43175,3283,43175,2021-11-26
5,44974,23336,23336,2021-11-26
6,19799,9520,9520,2021-11-26
7,48190,36058,36058,2021-11-26
3,48190,10231,48190,2021-11-26
9,19799,44974,19799,2021-11-26
10,9286,48190,9286,2021-11-26
11,9520,23336,23336,2021-11-26
12,43175,36058,43175,2021-11-26
13,36058,19799,36058,2021-11-26
14,9520,9286,9286,2021-11-26
8,43175,9286,43175,2021-11-26
1501,46076,38194,38194,2022-01-28
1500,30236,11829,11829,2022-01-28
1499,37998,9212,9212,2022-01-28
1498,37690,48190,37690,2022-01-28
1495,30236,21742,30236,2022-01-28
1496,25546,9396,9396,2022-01-28
1494,16577,25546,25546,2022-01-28
1502,21357,18716,18716,2022-01-28
1497,49726,9728,49726,2022-01-28
1503,37105,30181,30181,2022-01-28
1507,30181,18716,18716,2022-01-28
1505,9212,37690,9212,2022-01-28
1514,38194,9396,9396,2022-01-28
1513,9212,30181,9212,2022-01-28
1512,18716,49726,49726,2022-01-28
1511,18716,38194,38194,2022-01-28
1504,49726,9396,9396,2022-01-28
1509,30181,11829,30181,2022-01-28
1508,37690,49726,49726,2022-01-28
1506,38194,11829,38194,2022-01-28
1510,9212,9396,9396,2022-01-28
1470,45440,26036,45440,2022-02-05
1471,14320,379,14320,2022-02-05
1472,28254,9728,28254,2022-02-05
1473,22867,65194,65194,2022-02-05
1474,22683,16577,16577,2022-02-05
1475,45440,9520,9520,2022-02-05
1476,38194,3283,38194,2022-02-05
1477,14320,9286,9286,2022-02-05
1479,37690,9718,9718,2022-02-05
1480,65194,11829,11829,2022-02-05
1481,14431,25741,14431,2022-02-05
1478,28254,19292,28254,2022-02-05
1483,38194,9520,9520,2022-02-05
1484,28254,9286,28254,2022-02-05
1485,11829,9718,9718,2022-02-05
1486,38880,14431,38880,2022-02-05
1487,9286,38194,9286,2022-02-05
1488,14431,11829,11829,2022-02-05
1489,28254,9520,9520,2022-02-05
1490,38880,9718,9718,2022-02-05
1491,38880,9286,38880,2022-02-05
1492,28254,11829,28254,2022-02-05
1493,9718,9520,9520,2022-02-05
1482,16577,38880,38880,2022-02-05
1456,20999,25829,20999,2022-02-12
1455,23835,19799,23835,2022-02-12
1454,43348,49546,49546,2022-02-12
1453,61033,45266,61033,2022-02-12
1447,43949,30571,43949,2022-02-12
1451,43760,20237,20237,2022-02-12
1450,37690,20673,20673,2022-02-12
1449,50541,20999,20999,2022-02-12
1448,51229,61033,61033,2022-02-12
1452,43949,64658,43949,2022-02-12
1458,20673,26312,26312,2022-02-12
1457,18665,22132,18665,2022-02-12
1460,49546,61033,61033,2022-02-12
1461,20999,23835,23835,2022-02-12
1462,26312,18665,18665,2022-02-12
1463,49546,43949,49546,2022-02-12
1464,26312,20999,20999,2022-02-12
1465,61033,20237,61033,2022-02-12
1466,18665,23835,18665,2022-02-12
1467,23835,49546,49546,2022-02-12
1468,20237,20999,20999,2022-02-12
1469,18665,61033,18665,2022-02-12
1459,43949,20237,20237,2022-02-12
1434,25546,25741,25741,2022-02-17
1433,18923,3528,18923,2022-02-17
1432,37105,38158,38158,2022-02-17
1431,9212,20477,20477,2022-02-17
1425,25359,8374,25359,2022-02-17
1429,22683,45440,45440,2022-02-17
1428,25359,9718,9718,2022-02-17
1427,63310,37105,37105,2022-02-17
1426,9212,31518,9212,2022-02-17
1430,2539,9286,9286,2022-02-17
1435,13598,20,20,2022-02-17
1437,20477,9286,9286,2022-02-17
1438,18923,38158,38158,2022-02-17
1439,20,25741,25741,2022-02-17
1440,20477,45440,20477,2022-02-17
1441,20,18923,18923,2022-02-17
1442,9286,9718,9286,2022-02-17
1443,25741,38158,38158,2022-02-17
1444,25741,20477,25741,2022-02-17
1445,9718,18923,9718,2022-02-17
1446,38158,9286,38158,2022-02-17
1436,45440,9718,9718,2022-02-17
1413,20988,14431,14431,2022-02-26
1412,7924,18155,7924,2022-02-26
1411,44000,37690,37690,2022-02-26
1406,46083,1094,1094,2022-02-26
1409,52539,45266,45266,2022-02-26
1408,20673,22132,20673,2022-02-26
1407,23835,43949,23835,2022-02-26
1410,55984,29952,29952,2022-02-26
1414,23835,1094,1094,2022-02-26
1416,37690,29952,29952,2022-02-26
1417,14431,7924,14431,2022-02-26
1418,45266,23835,45266,2022-02-26
1419,7924,37690,37690,2022-02-26
1420,20673,1094,1094,2022-02-26
1421,14431,29952,14431,2022-02-26
1422,29952,45266,29952,2022-02-26
1423,20673,37690,20673,2022-02-26
1424,14431,1094,14431,2022-02-26
1415,45266,20673,20673,2022-02-26
1387,49222,9396,9396,2022-03-05
1386,20988,43197,20988,2022-03-05
1385,36121,14431,36121,2022-03-05
1384,21357,38064,38064,2022-03-05
1383,20999,49250,20999,2022-03-05
1382,37690,49546,37690,2022-03-05
1381,42860,44163,44163,2022-03-05
1377,20673,18716,20673,2022-03-05
1379,25679,14395,14395,2022-03-05
1378,37917,18665,18665,2022-03-05
1388,66781,22132,66781,2022-03-05
1376,66781,30571,66781,2022-03-05
1375,43348,22132,22132,2022-03-05
1374,49222,37105,49222,2022-03-05
1380,43949,65955,43949,2022-03-05
1389,18665,20673,20673,2022-03-05
1391,44163,22867,22867,2022-03-05
1401,14395,9396,9396,2022-03-05
1405,38194,9396,9396,2022-03-05
1404,14395,36121,36121,2022-03-05
1403,22867,20673,20673,2022-03-05
1402,38194,22867,38194,2022-03-05
1390,43949,14395,14395,2022-03-05
1400,36121,20999,36121,2022-03-05
1399,20673,66781,20673,2022-03-05
1397,20999,22867,22867,2022-03-05
1396,14395,20673,14395,2022-03-05
1395,66781,9396,9396,2022-03-05
1394,20988,36121,36121,2022-03-05
1393,38064,38194,38194,2022-03-05
1392,20999,37690,20999,2022-03-05
1398,36121,38194,38194,2022-03-05
1365,45006,23835,23835,2022-03-12
1362,22972,67053,22972,2022-03-12
1366,13150,9730,13150,2022-03-12
1363,22972,45005,22972,2022-03-12
1364,65407,23283,65407,2022-03-12
1367,23283,45005,45005,2022-03-12
1371,13150,45005,45005,2022-03-12
1369,65407,22972,22972,2022-03-12
1370,13150,23835,23835,2022-03-12
1372,65407,9730,65407,2022-03-12
1373,23835,22972,22972,2022-03-12
1368,9730,45006,9730,2022-03-12
1350,50770,67053,50770,2022-03-19
1351,50770,45005,45005,2022-03-19
1352,43407,13150,43407,2022-03-19
1354,52897,65407,65407,2022-03-19
1355,13150,50770,50770,2022-03-19
1353,13172,26036,26036,2022-03-19
1357,43407,45005,45005,2022-03-19
1358,65407,26036,65407,2022-03-19
1359,26036,50770,26036,2022-03-19
1360,43407,13172,13172,2022-03-19
1361,65407,45005,45005,2022-03-19
1356,52897,13172,13172,2022-03-19
1317,10231,20477,20477,2022-04-01
1324,18716,20,20,2022-04-01
1323,49726,36058,36058,2022-04-01
1325,16577,19292,16577,2022-04-01
1322,29719,18665,29719,2022-04-01
1321,11829,9286,11829,2022-04-01
1320,14395,11254,11254,2022-04-01
1319,29952,25741,25741,2022-04-01
1318,20999,3528,3528,2022-04-01
1316,25917,21796,21796,2022-04-01
1308,29952,30734,29952,2022-04-01
1314,16118,43760,16118,2022-04-01
1313,38194,2539,2539,2022-04-01
1312,38064,16577,16577,2022-04-01
1311,20,1094,20,2022-04-01
1310,31518,49726,49726,2022-04-01
1309,18665,14320,18665,2022-04-01
1307,12202,3528,3528,2022-04-01
1306,22867,21796,21796,2022-04-01
1326,8396,22683,22683,2022-04-01
1315,45440,9396,9396,2022-04-01
1327,2539,9520,9520,2022-04-01
1345,11254,9396,9396,2022-04-01
1329,16118,1220,1220,2022-04-01
1349,16577,9396,9396,2022-04-01
1348,11254,20,20,2022-04-01
1347,1220,11829,1220,2022-04-01
1346,1220,16577,16577,2022-04-01
1328,65194,38880,65194,2022-04-01
1344,65194,20,20,2022-04-01
1342,1220,65194,1220,2022-04-01
1341,16577,20,16577,2022-04-01
1340,11829,11254,11254,2022-04-01
1343,11829,20477,11829,2022-04-01
1338,42827,1220,1220,2022-04-01
1339,20477,9396,9396,2022-04-01
1331,21796,9396,9396,2022-04-01
1332,3528,20477,20477,2022-04-01
1333,11254,25741,11254,2022-04-01
1330,43949,42827,42827,2022-04-01
1335,20,36058,20,2022-04-01
1336,22683,16577,16577,2022-04-01
1337,65194,9520,65194,2022-04-01
1334,29719,11829,11829,2022-04-01
1295,25315,36058,36058,2022-04-15
1288,26040,25315,25315,2022-04-15
1289,33150,47669,47669,2022-04-15
1290,4333,2994,4333,2022-04-15
1291,46201,11829,11829,2022-04-15
1292,25682,16118,16118,2022-04-15
1293,65958,9212,9212,2022-04-15
1294,41582,36818,36818,2022-04-15
1296,4333,47669,47669,2022-04-15
1304,47669,16118,47669,2022-04-15
1298,36818,9212,36818,2022-04-15
1299,4333,25315,25315,2022-04-15
1300,9212,16118,16118,2022-04-15
1301,47669,36058,36058,2022-04-15
1302,36818,11829,11829,2022-04-15
1303,36818,25315,25315,2022-04-15
1305,11829,36058,36058,2022-04-15
1297,16118,11829,11829,2022-04-15
1278,19063,37917,37917,2022-04-23
1273,31629,49546,49546,2022-04-23
1274,24669,19063,19063,2022-04-23
1275,36260,44974,44974,2022-04-23
